X,Y,osm_id,code,fclass,name
-70.7164435,41.9930603,34667017,6101,rail,Plymouth Branch
-70.7138429,41.9918817,34667017,6101,rail,Plymouth Branch
-70.7120533,41.9911144,34667017,6101,rail,Plymouth Branch
-70.7189011,41.9936848,34667414,6101,rail,
-70.7187187,41.9934439,34667414,6101,rail,
-70.7185218,41.9931228,34667414,6101,rail,
-70.718349,41.992716,34667414,6101,rail,
-70.7180681,41.9919077,34667414,6101,rail,
-70.71778,41.9911101,34667414,6101,rail,
-70.7176528,41.990698,34667414,6101,rail,
-70.7176171,41.9905288,34667414,6101,rail,
-70.7176037,41.9904433,34667414,6101,rail,
-70.7175928,41.9903554,34667414,6101,rail,
-70.7175819,41.9902204,34667414,6101,rail,
-70.7175794,41.9901529,34667414,6101,rail,
-70.7175797,41.9900851,34667414,6101,rail,
-70.7175797,41.9900851,34667415,6101,rail,
-70.7175951,41.9899217,34667415,6101,rail,
-70.7176089,41.9898321,34667415,6101,rail,
-70.7176224,41.9897417,34667415,6101,rail,
-70.7177018,41.9892778,34667415,6101,rail,
-70.71778,41.988894,34667415,6101,rail,
-70.7178386,41.9885136,34667415,6101,rail,
-70.717876,41.9881265,34667415,6101,rail,
-70.7178887,41.9878525,34667415,6101,rail,
-70.717732,41.9867564,34667417,6101,rail,
-70.7172799,41.9849067,34667417,6101,rail,
-70.7172087,41.9846026,34667417,6101,rail,
-70.7171126,41.9841422,34667417,6101,rail,
-70.7170742,41.9837353,34667417,6101,rail,
-70.7170862,41.9834266,34667417,6101,rail,
-70.7171487,41.9831054,34667417,6101,rail,
-70.7172687,41.9827645,34667417,6101,rail,
-70.7173935,41.9825022,34667417,6101,rail,
-70.7176336,41.9821007,34667417,6101,rail,
-70.7185997,41.980675,34667417,6101,rail,
-70.719169,41.9799118,34667417,6101,rail,
-70.7193467,41.979655,34667417,6101,rail,
-70.7195268,41.9793993,34667417,6101,rail,
-70.7195979,41.9793098,34667417,6101,rail,
-70.7196691,41.9792224,34667417,6101,rail,
-70.7198183,41.9790487,34667417,6101,rail,
-70.7199419,41.9789199,34667417,6101,rail,
-70.7200658,41.9787957,34667417,6101,rail,
-70.7203244,41.9785532,34667417,6101,rail,
-70.7205533,41.9783726,34667417,6101,rail,
-70.7207837,41.9781971,34667417,6101,rail,
-70.7211994,41.9779179,34667417,6101,rail,
-70.7217119,41.9776144,34667417,6101,rail,
-70.7239996,41.9762908,34667417,6101,rail,
-70.7243675,41.9760758,34667417,6101,rail,
-70.7277977,41.9740714,34667417,6101,rail,
